--2022-06-03 13:05:33--  http://10.1.0.1/random
Connecting to 10.1.0.1:80... connected.
HTTP request sent, awaiting response... 200 OK
Length: 10485760 (10M) [application/octet-stream]
Saving to: ‘random.1’

  5000K .......... .......... .......... .......... .......... 49% 2.70M 2s
  5050K .......... .......... .......... .......... .......... 49% 2.23M 2s
  5100K .......... .......... .......... .......... .......... 50% 2.04M 2s
  5150K .......... .......... .......... .......... .......... 50% 2.26M 2s
  5200K .......... .......... .......... .......... .......... 51% 1.81M 2s
  5250K .......... .......... .......... .......... .......... 51% 2.57M 2s
  5300K .......... .......... .......... .......... .......... 52% 2.27M 2s
  5350K .......... .......... .......... .......... .......... 52% 2.10M 2s
  5400K .......... .......... .......... .......... .......... 53% 2.26M 2s
  5450K .......... .......... .......... .......... .......... 53% 1.97M 2s
  5500K .......... .......... .......... .......... .......... 54% 2.66M 2s
  5550K .......... .......... .......... .......... .......... 54% 2.24M 2s
  5600K .......... .......... .......... .......... .......... 55% 2.16M 2s
  5650K .......... .......... .......... .......... .......... 55% 2.29M 2s
  5700K .......... .......... .......... .......... .......... 56% 2.02M 2s
  5750K .......... .......... .......... .......... .......... 56% 2.45M 2s
  5800K .......... .......... .......... .......... .......... 57% 2.22M 2s
  5850K .......... .......... .......... .......... .......... 57% 2.27M 2s
  5900K .......... .......... .......... .......... .......... 58% 2.22M 2s
  5950K .......... .......... .......... .......... .......... 58% 2.06M 2s
  6000K .......... .......... .......... .......... .......... 59% 2.46M 2s
  6050K .......... .......... .......... .......... .......... 59% 1.97M 2s
  6100K .......... .......... .......... .......... .......... 60% 2.59M 2s
  6150K .......... .......... .......... .......... .......... 60% 2.21M 2s
  6200K .......... .......... .......... .......... .......... 61% 2.22M 2s
  6250K .......... .......... .......... .......... .......... 61% 2.27M 2s
  6300K .......... .......... .......... .......... .......... 62% 2.11M 2s
  6350K .......... .......... .......... .......... .......... 62% 2.42M 2s
  6400K .......... .......... .......... .......... .......... 62% 1.85M 2s
  6450K .......... .......... .......... .......... .......... 63% 2.89M 2s
  6500K .......... .......... .......... .......... .......... 63% 2.23M 2s
  6550K .......... .......... .......... .......... .......... 64% 2.16M 2s
  6600K .......... .......... .......... .......... .......... 64% 2.32M 2s
  6650K .......... .......... .......... .......... .......... 65% 1.98M 2s
  6700K .......... .......... .......... .......... .......... 65% 2.44M 2s
  6750K .......... .......... .......... .......... .......... 66% 1.65M 2s
  6800K .......... .......... .......... .......... .......... 66% 2.93M 2s
  6850K .......... .......... .......... .......... .......... 67% 2.27M 1s
  6900K .......... .......... .......... .......... .......... 67% 2.13M 1s
  6950K .......... .......... .......... .......... .......... 68% 2.37M 1s
  7000K .......... .......... .......... .......... .......... 68% 2.07M 1s
  7050K .......... .......... .......... .......... .......... 69% 2.45M 1s
  7100K .......... .......... .......... .......... .......... 69% 1.83M 1s
  7150K .......... .......... .......... .......... .......... 70% 2.97M 1s
  7200K .......... .......... .......... .......... .......... 70% 2.20M 1s
  7250K .......... .......... .......... .......... .......... 71% 2.14M 1s
  7300K .......... .......... .......... .......... .......... 71% 2.34M 1s
  7350K .......... .......... .......... .......... .......... 72% 2.01M 1s
  7400K .......... .......... .......... .......... .......... 72% 2.50M 1s
  7450K .......... .......... .......... .......... .......... 73% 1.81M 1s
  7500K .......... .......... .......... .......... .......... 73% 3.07M 1s
  7550K .......... .......... .......... .......... .......... 74% 2.20M 1s
  7600K .......... .......... .......... .......... .......... 74% 2.06M 1s
  7650K .......... .......... .......... .......... .......... 75% 2.37M 1s
  7700K .......... .......... .......... .......... .......... 75% 2.00M 1s
  7750K .......... .......... .......... .......... .......... 76% 2.61M 1s
  7800K .......... .......... .......... .......... .......... 76% 2.23M 1s
  7850K .......... .......... .......... .......... .......... 77% 2.21M 1s
  7900K .......... .......... .......... .......... .......... 77% 2.13M 1s
  7950K .......... .......... .......... .......... .......... 78% 1.98M 1s
  8000K .......... .......... .......... .......... .......... 78% 2.60M 1s
  8050K .......... .......... .......... .......... .......... 79% 2.21M 1s
  8100K .......... .......... .......... .......... .......... 79% 2.20M 1s
  8150K .......... .......... .......... .......... .......... 80% 2.24M 1s
  8200K .......... .......... .......... .......... .......... 80% 2.26M 1s
  8250K .......... .......... .......... .......... .......... 81% 2.27M 1s
  8300K .......... .......... .......... .......... .......... 81% 1.97M 1s
  8350K .......... .......... .......... .......... .......... 82% 2.54M 1s
  8400K .......... .......... .......... .......... .......... 82% 2.23M 1s
  8450K .......... .......... .......... .......... .......... 83% 2.26M 1s
  8500K .......... .......... .......... .......... .......... 83% 2.25M 1s
  8550K .......... .......... .......... .......... .......... 83% 2.17M 1s
  8600K .......... .......... .......... .......... .......... 84% 2.26M 1s
  8650K .......... .......... .......... .......... .......... 84% 1.95M 1s
  8700K .......... .......... .......... .......... .......... 85% 2.63M 1s
  8750K .......... .......... .......... .......... .......... 85% 1.83M 1s
  8800K .......... .......... .......... .......... .......... 86% 2.64M 1s
  8850K .......... .......... .......... .......... .......... 86% 2.22M 1s
  8900K .......... .......... .......... .......... .......... 87% 2.24M 1s
  8950K .......... .......... .......... .......... .......... 87% 2.24M 1s
  9000K .......... .......... .......... .......... .......... 88% 2.00M 1s
  9050K .......... .......... .......... .......... .......... 88% 2.49M 1s
  9100K .......... .......... .......... .......... .......... 89% 1.92M 0s
  9150K .......... .......... .......... .......... .......... 89% 2.61M 0s
  9200K .......... .......... .......... .......... .......... 90% 2.27M 0s
  9250K .......... .......... .......... .......... .......... 90% 1.98M 0s
